# Data collected by wave glider.
# Date: October 2013 to Feb 2014
# Location: Pseudo mooring mode (20km octagon at 43S 8E)
# Publication: Monteiro et al. (2015)
#
# Column Descriptions
# DateTime:     YYYY-mm-dd HH:MM:SS
# Lat:          decimal degrees north
# Lon:          decimal degrees east
# Temperature:  degrees C
# Salinity:     PSU
# DeltaPco2:    difference between atmospheric and marine partial pressure of CO2
# Vscatt_ms1:   Wind from scatterometer data in m/s
# DateNum:      MATLAB date number (for easy conversion)
# CO2Flux_N00:  CO2 flux calculated from Vscatt mmol/m2/d using the gas exchange co-efficient by Nightingale et al. (2000)
# CO2Flux_H06:  CO2 flux calculated from Vscatt mmol/m2/d using the gas exchange co-efficient by Ho et al. (2006)
# Juldate:      Julian date as decimal days since 0001-01-01
# CO2Flux_N00_filled:  Same as CO2Flux_N00, but gaps are filled with a Guassian interpolation method
# CO2Flux_N00_filled:  Same as DeltaFco2, but gaps are filled with a Guassian interpolation method
#
DateTime,Lat,Lon,Temperature,Salinity,DeltaPco2,Vscatt,DateNum,CO2Flux_N00,CO2Flux_H06,Juldate,CO2Flux_N00_filled,DeltaFco2_filled
2014-01-12 06:00:00,-42.96215,8.4494375,9.7663,34.04421273,-22.269000000000002,10.595,735611.2618,-4.93674936553429,-5.181611280964259,2456669.75,-4.93674936553429,-22.269000000000002
2014-01-12 07:00:00,-42.97025611,8.4439275,9.7756,34.04566868,-21.888,10.655,735611.3035,-4.903783063257636,-5.150606865293521,2456669.7916666665,-4.903783063257636,-21.888
2014-01-12 08:00:00,-42.97803028,8.439239167,9.7896,34.04882831,-20.709,10.773,735611.3451,-4.736260838004509,-4.9813860463057065,2456669.8333333335,-4.736260838004509,-20.709
2014-01-12 09:00:00,-42.98569361,8.434596111,9.7993,34.04887695,-21.125,10.892000000000001,735611.3868,-4.931977124587079,-5.194167418280124,2456669.875,-4.931977124587079,-21.125
2014-01-12 10:00:00,-42.99295167,8.430267778,9.792,34.05065872,-22.006,11.01,735611.4285,-5.2428430839920095,-5.528731906857951,2456669.9166666665,-5.2428430839920095,-22.006
2014-01-12 11:00:00,-43.00064556,8.426466389,9.8091,34.05088026,-21.724,11.128,735611.4701,-5.280170740602416,-5.5751835761723205,2456669.9583333335,-5.280170740602416,-21.724
2014-01-12 12:00:00,-43.00876167,8.428917777999999,9.8105,34.05160559,-21.781,11.234000000000002,735611.5118,-5.389267926643504,-5.696761152375244,2456670.0,-5.389267926643504,-21.781
2014-01-12 13:00:00,-43.01452222,8.431403056,9.8206,34.0522983,-22.799,11.073,735611.5535,-5.4898030658243915,-5.793110492931852,2456670.0416666665,-5.4898030658243915,-22.799
2014-01-12 14:00:00,-43.01657445,8.432286389,9.8027,34.05078564,-22.154,10.931,735611.5951,-5.20695520652938,-5.486132995919213,2456670.0833333335,-5.20695520652938,-22.154
2014-01-12 15:00:00,-43.01740767,8.432685333,9.807,34.04979215,-23.318,10.77,735611.6368,-5.329834540745822,-5.605489323927636,2456670.125,-5.329834540745822,-23.318
2014-01-12 16:00:00,-43.01799056,8.432870555,9.7956,34.0482771,-24.476999999999997,10.612,735611.6785,-5.441934435702804,-5.7129884552087375,2456670.1666666665,-5.441934435702804,-24.476999999999997
2014-01-12 17:00:00,-43.01891306,8.433305277999999,9.7736,34.04858778,-25.4,10.450999999999999,735611.7201,-5.487923819355307,-5.7502978108047405,2456670.2083333335,-5.487923819355307,-25.4
2014-01-12 18:00:00,-43.01907667,8.433372777999999,9.7474,34.04876662,-25.12,10.26,735611.7618,-5.243522737170922,-5.481404560189295,2456670.25,-5.243522737170922,-25.12
2014-01-12 19:00:00,-43.02018028,8.433862778,9.7051,34.04878567,-25.603,9.986,735611.8035,-5.081125928947056,-5.29311549588758,2456670.2916666665,-5.081125928947056,-25.603
2014-01-12 20:00:00,-43.02443611,8.435718889,9.7034,34.0493692,-25.846,9.717,735611.8451,-4.874296485390723,-5.059365875762932,2456670.3333333335,-4.874296485390723,-25.846
2014-01-12 21:00:00,-43.03071056,8.439790278,9.7036,34.05226258,-25.18,9.45,735611.8868,-4.508206483083418,-4.661762572103662,2456670.375,-4.508206483083418,-25.18
2014-01-12 22:00:00,-43.03575083,8.451993332999999,9.8128,32.77688537,-25.211,9.181000000000001,735611.9285,-4.307583705502127,-4.436499735599037,2456670.4166666665,-4.307583705502127,-25.211
2014-01-12 23:00:00,-43.042085,8.4692025,9.9948,32.85337636,-22.285,8.908,735611.9701,-3.5962783071905653,-3.6880336957886897,2456670.4583333335,-3.5962783071905653,-22.285
2014-01-13 00:00:00,-43.04983444,8.490089999999999,10.0957,32.83873772,-21.704,8.728,735612.0118,-3.3715845824218587,-3.447360805442464,2456670.5,-3.3715845824218587,-21.704
2014-01-13 01:00:00,-43.0499275,8.511881389,10.1196,32.96788446,-20.636999999999997,8.795,735612.0535,-3.248938043321981,-3.325673306035237,2456670.5416666665,-3.248938043321981,-20.636999999999997
2014-01-13 02:00:00,-43.04129222,8.535819167,10.0788,33.10852155,-21.383000000000003,8.846,735612.0951,-3.400366222399395,-3.483604289114556,2456670.5833333335,-3.400366222399395,-21.383000000000003
2014-01-13 03:00:00,-43.03130694,8.558624445,10.009,33.07397914,-21.320999999999998,8.898,735612.1368,-3.429028845815598,-3.5159475601847694,2456670.625,-3.429028845815598,-21.320999999999998
2014-01-13 04:00:00,-43.015705,8.568091111000001,9.9789,32.96638363,-21.235,8.966000000000001,735612.1785,-3.4662863520333445,-3.558042272015965,2456670.6666666665,-3.4662863520333445,-21.235
2014-01-13 05:00:00,-42.99954028,8.572922777999999,9.9451,32.922022,-20.82,9.033999999999999,735612.2201,-3.447825859794368,-3.542915195849603,2456670.7083333335,-3.447825859794368,-20.82
2014-01-13 06:00:00,-42.98794584,8.567249445,9.9611,33.09856259,-20.506,9.184,735612.2618,-3.4976281035369903,-3.6024692938869047,2456670.75,-3.4976281035369903,-20.506
2014-01-13 07:00:00,-42.97443611,8.559499167,9.9769,33.11559526,-20.953000000000003,9.544,735612.3035,-3.8385322447687713,-3.974640815902425,2456670.7916666665,-3.8385322447687713,-20.953000000000003
2014-01-13 08:00:00,-42.96203861,8.550201111,9.9533,33.04570369,-20.202,9.902000000000001,735612.3451,-3.966143961188116,-4.127043262514453,2456670.8333333335,-3.966143961188116,-20.202
2014-01-13 09:00:00,-42.95662222,8.536025556,9.9367,33.10059715,-19.023,10.262,735612.3868,-3.9916116865992857,-4.172802048441453,2456670.875,-3.9916116865992857,-19.023
2014-01-13 10:00:00,-42.95251667,8.522878611,9.9627,33.12252272,-18.325,10.620999999999999,735612.4285,-4.100271017793394,-4.304950709354714,2456670.9166666665,-4.100271017793394,-18.325
2014-01-13 11:00:00,-42.94869222,8.510606389,9.9018,34.05946696,-19.79,10.98,735612.4701,-4.6888647707591575,-4.9429261805053315,2456670.9583333335,-4.6888647707591575,-19.79
2014-01-13 12:00:00,-42.94691972,8.499756111,9.9164,34.04669611,-18.71,11.004000000000001,735612.5118,-4.451331122340884,-4.693752442563818,2456671.0,-4.451331122340884,-18.71
2014-01-13 13:00:00,-42.94946583,8.490131389,9.9218,34.04875207,-17.13,10.75,735612.5535,-3.900369954086938,-4.1011612001145785,2456671.0416666665,-3.900369954086938,-17.13
2014-01-13 14:00:00,-42.95254694,8.4787775,9.9629,34.05081596,-17.096,10.492,735612.5951,-3.71865500455465,-3.898353455558753,2456671.0833333335,-3.71865500455465,-17.096
2014-01-13 15:00:00,-42.95583556,8.466845278,9.9316,34.05074019,-19.5,10.23,735612.6368,-4.045698379409476,-4.227657395022188,2456671.125,-4.045698379409476,-19.5
2014-01-13 16:00:00,-42.959035,8.454985833,9.9274,34.05470682,-18.397000000000002,9.969,735612.6785,-3.636682017258844,-3.7875644750142015,2456671.1666666665,-3.636682017258844,-18.397000000000002
2014-01-13 17:00:00,-42.96364528,8.447925556,9.9324,34.06224866,-17.472,9.695,735612.7201,-3.2784597661223494,-3.401905426352635,2456671.2083333335,-3.2784597661223494,-17.472
2014-01-13 18:00:00,-42.97122889,8.443282778,9.9413,34.07223532,-17.27,9.461,735612.7618,-3.095975325200925,-3.201938732310996,2456671.25,-3.095975325200925,-17.27
2014-01-13 19:00:00,-42.97941806,8.438400278,9.9481,34.08113684,-14.009,9.312000000000001,735612.8035,-2.438048431172336,-2.5159842665750207,2456671.2916666665,-2.438048431172336,-14.009
2014-01-13 20:00:00,-42.98784417,8.433317500000001,9.94,34.08879235,-15.347000000000001,9.161,735612.8451,-2.590852124308812,-2.6675724767088878,2456671.3333333335,-2.590852124308812,-15.347000000000001
2014-01-13 21:00:00,-42.99692528,8.427850278,9.952,34.0989065,-14.379000000000001,9.006,735612.8868,-2.3514422405138364,-2.4152246016459,2456671.375,-2.3514422405138364,-14.379000000000001
2014-01-13 22:00:00,-43.00723639,8.428315834,9.991,34.11616448,-11.013,8.863999999999999,735612.9285,-1.748242740800209,-1.7915656986956372,2456671.4166666665,-1.748242740800209,-11.013
2014-01-13 23:00:00,-43.01811278,8.432916111,9.9733,34.11145599,-12.394,8.71,735612.9701,-1.904717946619791,-1.9469363288974464,2456671.4583333335,-1.904717946619791,-12.394
2014-01-14 00:00:00,-43.02530972,8.436106388999999,9.9606,34.11222907,-12.974,8.596,735613.0118,-1.9458557264798688,-1.9851181671281697,2456671.5,-1.9458557264798688,-12.974
2014-01-14 01:00:00,-43.02910333,8.437766945,10.0202,34.11816069,-11.33,8.602,735613.0535,-1.701101461403148,-1.7356052450069237,2456671.5416666665,-1.701101461403148,-11.33
2014-01-14 02:00:00,-43.0309325,8.439863611,10.005,34.12640503,-10.257,8.591000000000001,735613.0951,-1.5363572025865766,-1.5672214815869547,2456671.5833333335,-1.5363572025865766,-10.257
2014-01-14 03:00:00,-43.03304778,8.445689167000001,9.9982,34.12671036,-9.988999999999999,8.579,735613.1368,-1.4923775341275791,-1.5220418272961678,2456671.625,-1.4923775341275791,-9.988999999999999
2014-01-14 04:00:00,-43.03139639,8.446226667000001,10.0396,34.13348466,-10.892999999999999,8.567,735613.1785,-1.6229483333850918,-1.6548630334333312,2456671.6666666665,-1.6229483333850918,-10.892999999999999
2014-01-14 05:00:00,-43.02680333,8.441961667000001,10.0815,34.14689108,-11.337,8.555,735613.2201,-1.68436917861725,-1.7171328118486937,2456671.7083333335,-1.68436917861725,-11.337
2014-01-14 06:00:00,-43.02154222,8.433748056,10.1779,34.16778862,-12.117,8.603,735613.2618,-1.8182265419753951,-1.855138016360946,2456671.75,-1.8182265419753951,-12.117
2014-01-14 07:00:00,-43.01912083,8.421559167,10.2827,34.18769765,-10.592,8.792,735613.3035,-1.6539626669459908,-1.6929427291694743,2456671.7916666665,-1.6539626669459908,-10.592
2014-01-14 08:00:00,-43.01895111,8.408079722,10.3092,34.18907023,-12.579,8.99,735613.3451,-2.0469265994159938,-2.101914931529574,2456671.8333333335,-2.0469265994159938,-12.579
2014-01-14 09:00:00,-43.02028834,8.409681943999999,10.2501,34.16873358,-10.577,9.187000000000001,735613.3868,-1.7924370714339832,-1.846249907827825,2456671.875,-1.7924370714339832,-10.577
2014-01-14 10:00:00,-43.02361583,8.419181945,10.2134,34.1485216,-10.427,9.389,735613.4285,-1.8404288877589827,-1.9014243219361704,2456671.9166666665,-1.8404288877589827,-10.427
2014-01-14 11:00:00,-43.02860472,8.432695556,10.1829,34.12851742,-8.801,9.595,735613.4701,-1.6178872359986816,-1.676465356857587,2456671.9583333335,-1.6178872359986816,-8.801
2014-01-14 12:00:00,-43.03492806,8.449805556,10.1271,34.10588631,-9.74,9.679,735613.5118,-1.8204104465471576,-1.88853707419017,2456672.0,-1.8204104465471576,-9.74
2014-01-14 13:00:00,-43.04299917,8.471731667,10.0932,34.091035,-8.881,9.451,735613.5535,-1.588012973322435,-1.6421268132539244,2456672.0416666665,-1.588012973322435,-8.881
2014-01-14 14:00:00,-43.05113639,8.495653889,10.1221,34.08516377,-8.767999999999999,9.222999999999999,735613.5951,-1.4980442716864055,-1.5438646138783725,2456672.0833333335,-1.4980442716864055,-8.767999999999999
2014-01-14 15:00:00,-43.04529056,8.524718333,10.1524,34.07899257,-9.597000000000001,8.98,735613.6368,-1.560208289309568,-1.601866419309186,2456672.125,-1.560208289309568,-9.597000000000001
2014-01-14 16:00:00,-43.03275667,8.555725833,10.1423,34.06816843,-10.924000000000001,8.714,735613.6785,-1.6797531732506137,-1.7171009735594118,2456672.1666666665,-1.6797531732506137,-10.924000000000001
2014-01-14 17:00:00,-43.01305361,8.569257499999999,10.1719,34.06673172,-12.462,8.47,735613.7201,-1.817940806838752,-1.8505322257872023,2456672.2083333335,-1.817940806838752,-12.462
2014-01-14 18:00:00,-42.99694556,8.572975,10.1634,34.06965137,-12.581,8.277999999999999,735613.7618,-1.7591722806606145,-1.7844830392626578,2456672.25,-1.7591722806606145,-12.581
2014-01-14 19:00:00,-42.98604444,8.566057778,10.1401,34.07837598,-12.545,8.465,735613.8035,-1.8281119902576228,-1.8607203985766336,2456672.2916666665,-1.8281119902576228,-12.545
2014-01-14 20:00:00,-42.96620528,8.554256111,10.15,34.08735371,-11.968,8.651,735613.8451,-1.8154678911018287,-1.8538505437689232,2456672.3333333335,-1.8154678911018287,-11.968
2014-01-14 21:00:00,-42.95929778,8.5444975,10.1278,34.09098298,-10.258,8.788,735613.8868,-1.6021269168408023,-1.6397765514543292,2456672.375,-1.6021269168408023,-10.258
2014-01-14 22:00:00,-42.95406139,8.527679166,10.1581,34.10920603,-10.494000000000002,8.982000000000001,735613.9285,-1.7064139597290344,-1.7520316722928393,2456672.4166666665,-1.7064139597290344,-10.494000000000002
2014-01-14 23:00:00,-42.94886195,8.511098333,10.2179,34.13006431,-9.448,9.175,735613.9701,-1.5977402232409417,-1.645405785948765,2456672.4583333335,-1.5977402232409417,-9.448
2014-01-15 00:00:00,-42.94702972,8.498935556000001,10.3233,34.15350041,-9.295,9.315,735614.0118,-1.6160304435982835,-1.6677637718898055,2456672.5,-1.6160304435982835,-9.295
2014-01-15 01:00:00,-42.94911445,8.491427499999999,10.3835,34.16971918,-8.737,9.342,735614.0535,-1.526794884511521,-1.576303422025109,2456672.5416666665,-1.526794884511521,-8.737
2014-01-15 02:00:00,-42.95231389,8.479775,10.3811,34.17804673,-9.163,9.368,735614.0951,-1.609480529446353,-1.6623085616924025,2456672.5833333335,-1.609480529446353,-9.163
2014-01-15 03:00:00,-42.95672778,8.463564167000001,10.377,34.18392927,-10.03,9.396,735614.1368,-1.7715499068985558,-1.8304504083274669,2456672.625,-1.7715499068985558,-10.03
2014-01-15 04:00:00,-42.96306083,8.448854167,10.4117,34.193740399999996,-8.982000000000001,9.419,735614.1785,-1.5934261647629169,-1.6469580499030576,2456672.6666666665,-1.5934261647629169,-8.982000000000001
2014-01-15 05:00:00,-42.97371194,8.441873611,10.4496,34.2055658,-8.85,9.454,735614.2201,-1.5806020051611631,-1.6345343512292634,2456672.7083333335,-1.5806020051611631,-8.85
2014-01-15 06:00:00,-42.98377472,8.435770833,10.5187,34.22332208,-10.696,9.357999999999999,735614.2618,-1.873737129288168,-1.93495348091569,2456672.75,-1.873737129288168,-10.696
2014-01-15 07:00:00,-42.99378167,8.429744443999999,10.5713,34.23635315,-11.627,8.948,735614.3035,-1.8736083509356112,-1.92265024274214,2456672.7916666665,-1.8736083509356112,-11.627
2014-01-15 08:00:00,-43.00394417,8.427133056,10.6264,34.24396484,-11.814,8.541,735614.3451,-1.7459940726788283,-1.7795212644748717,2456672.8333333335,-1.7459940726788283,-11.814
2014-01-15 09:00:00,-43.0154475,8.431829167,10.6816,34.24943081,-12.577,8.124,735614.3868,-1.6942454330640289,-1.7136387975839489,2456672.875,-1.6942454330640289,-12.577
2014-01-15 10:00:00,-43.02452361,8.435773333,10.6917,34.25100006,-13.065999999999999,7.734,735614.4285,-1.6076564012178922,-1.6133782347001495,2456672.9166666665,-1.6076564012178922,-13.065999999999999
2014-01-15 11:00:00,-43.03020944,8.4392425,10.6931,34.24968607,-13.387,7.322,735614.4701,-1.4898344744047634,-1.4815944851953784,2456672.9583333335,-1.4898344744047634,-13.387
2014-01-15 12:00:00,-43.03812722,8.458536111,10.7227,34.25102734,-11.437999999999999,7.015,735614.5118,-1.1770046972710912,-1.161849515725235,2456673.0,-1.1770046972710912,-11.437999999999999
2014-01-15 13:00:00,-43.04608778,8.480079722000001,10.7332,34.25221636,-11.962,7.02,735614.5535,-1.232479070316645,-1.2167622645094094,2456673.0416666665,-1.232479070316645,-11.962
2014-01-15 14:00:00,-43.05035917,8.493955556,10.7325,34.25186956,-13.823,6.983,735614.5951,-1.410570011968881,-1.391284298693802,2456673.0833333335,-1.410570011968881,-13.823
2014-01-15 15:00:00,-43.05031972,8.501313055,10.7635,34.25288937,-14.262,6.962999999999999,735614.6368,-1.447634336322615,-1.427117041054501,2456673.125,-1.447634336322615,-14.262
2014-01-15 16:00:00,-43.04757,8.503285556,10.7679,34.25177211,-12.809000000000001,6.926,735614.6785,-1.287579064535498,-1.2681294875892402,2456673.1666666665,-1.287579064535498,-12.809000000000001
2014-01-15 17:00:00,-43.0434,8.500073334,10.7647,34.2537696,-15.13,6.888999999999999,735614.7201,-1.5061188773316148,-1.4819512057399138,2456673.2083333335,-1.5061188773316148,-15.13
2014-01-15 18:00:00,-43.03925139,8.492125,10.764000000000001,34.25342325,-15.689,6.9079999999999995,735614.7618,-1.5696254004090515,-1.5451986004121152,2456673.25,-1.5696254004090515,-15.689
2014-01-15 19:00:00,-43.03821945,8.480389444,10.7547,34.25111261,-15.849,7.072,735614.8035,-1.6550073460591852,-1.63602026031429,2456673.2916666665,-1.6550073460591852,-15.849
2014-01-15 20:00:00,-43.04076222,8.4685175,10.7654,34.25211067,-15.824000000000002,7.212999999999999,735614.8451,-1.7129989001219812,-1.6991587819537752,2456673.3333333335,-1.7129989001219812,-15.824000000000002
2014-01-15 21:00:00,-43.04358083,8.473208332999999,10.7387,34.24906444,-12.704,7.381,735614.8868,-1.4345551812257933,-1.4285625334573635,2456673.375,-1.4345551812257933,-12.704
2014-01-15 22:00:00,-43.04786556,8.4848575,10.6013,34.2323266,-12.269,7.553,735614.9285,-1.4459173987082257,-1.445436809016522,2456673.4166666665,-1.4459173987082257,-12.269
2014-01-15 23:00:00,-43.05222778,8.500917222,10.4258,34.20371633,-12.67,7.726,735614.9701,-1.5576582628494409,-1.5629392543761425,2456673.4583333335,-1.5576582628494409,-12.67
2014-01-16 00:00:00,-43.04725667,8.519256111,10.3868,34.19594584,-11.845,7.849,735615.0118,-1.4993869383220266,-1.508313279632273,2456673.5,-1.4993869383220266,-11.845
2014-01-16 01:00:00,-43.03973111,8.540175278,10.3744,34.19042411,-11.267999999999999,7.867999999999999,735615.0535,-1.432807043368282,-1.4418956748394751,2456673.5416666665,-1.432807043368282,-11.267999999999999
2014-01-16 02:00:00,-43.03143139,8.560310000000001,10.3719,34.1927783,-12.75,7.886,735615.0951,-1.628075831532236,-1.6390021164285384,2456673.5833333335,-1.628075831532236,-12.75
2014-01-16 03:00:00,-43.026175,8.563429444,10.4222,34.20205167,-12.532,7.916,735615.1368,-1.6111241882521867,-1.6229196392465708,2456673.625,-1.6111241882521867,-12.532
2014-01-16 04:00:00,-43.01613417,8.567739722,10.5193,34.21771587,-12.873,7.945,735615.1785,-1.6654945411857214,-1.6786641478191275,2456673.6666666665,-1.6654945411857214,-12.873
2014-01-16 05:00:00,-42.99996583,8.573916666,10.6018,34.22682465,-13.658,7.975,735615.2201,-1.7788215909916016,-1.793959058713083,2456673.7083333335,-1.7788215909916016,-13.658
2014-01-16 06:00:00,-42.99476445,8.571414445,10.6953,34.24260003,-12.523,8.064,735615.2618,-1.664068576168393,-1.6811669104143503,2456673.75,-1.664068576168393,-12.523
2014-01-16 07:00:00,-42.98424695,8.565105,10.7684,34.24629066,-13.545,8.523,735615.3035,-1.9931361833078345,-2.030768384799866,2456673.7916666665,-1.9931361833078345,-13.545
2014-01-16 08:00:00,-42.96877111,8.556242222,10.7475,34.24984029,-13.632,8.981,735615.3451,-2.2104120275354044,-2.269467002724189,2456673.8333333335,-2.2104120275354044,-13.632
2014-01-16 09:00:00,-42.96156306,8.552382778,10.7774,34.25389349,-13.581,9.414,735615.3868,-2.403404836452707,-2.483967089413754,2456673.875,-2.403404836452707,-13.581
2014-01-16 10:00:00,-42.96200639,8.5531225,10.7791,34.25330228,-13.661,9.884,735615.4285,-2.6475636262717805,-2.754310626670076,2456673.9166666665,-2.6475636262717805,-13.661
2014-01-16 11:00:00,-42.96142722,8.551593056,10.7891,34.25395125,-12.662,10.353,735615.4701,-2.6761991224305843,-2.8008188183868525,2456673.9583333335,-2.6761991224305843,-12.662
2014-01-16 12:00:00,-42.95949833,8.5449775,10.8094,34.24595081,-14.197000000000001,10.67,735615.5118,-3.1751675764976186,-3.335563051576788,2456674.0,-3.1751675764976186,-14.197000000000001
2014-01-16 13:00:00,-42.95562139,8.532617222,10.7809,34.24159275,-14.335999999999999,10.599,735615.5535,-3.166689480053701,-3.3239123025422117,2456674.0416666665,-3.166689480053701,-14.335999999999999
2014-01-16 14:00:00,-42.95085278,8.517479444,10.7822,34.2343617,-12.707,10.522,735615.5951,-2.7688376370911145,-2.9036731301351946,2456674.0833333335,-2.7688376370911145,-12.707
2014-01-16 15:00:00,-42.94726361,8.501618889,10.7908,34.23732816,-13.635,10.450999999999999,735615.6368,-2.933445703141402,-3.0736917931324648,2456674.125,-2.933445703141402,-13.635
2014-01-16 16:00:00,-42.950590000000005,8.486044445,10.8042,34.24080546,-12.625,10.372,735615.6785,-2.6776416414075763,-2.8029783007654907,2456674.1666666665,-2.6776416414075763,-12.625
2014-01-16 17:00:00,-42.95406639,8.473142222,10.8206,34.239467299999994,-13.594000000000001,10.293,735615.7201,-2.8420398736546937,-2.9721895519003048,2456674.2083333335,-2.8420398736546937,-13.594000000000001
2014-01-16 18:00:00,-42.95735972,8.461258055,10.843,34.249524900000004,-14.237,10.152000000000001,735615.7618,-2.9002336731743763,-3.027699617170321,2456674.25,-2.9002336731743763,-14.237
2014-01-16 19:00:00,-42.95937334,8.453831389,10.8959,34.24602371,-14.770999999999999,9.855,735615.8035,-2.846139201029896,-2.959744957277937,2456674.2916666665,-2.846139201029896,-14.770999999999999
2014-01-16 20:00:00,-42.96097556,8.449903889,10.9433,34.2646242,-17.090999999999998,9.557,735615.8451,-3.1090035086399883,-3.219838957967701,2456674.3333333335,-3.1090035086399883,-17.090999999999998
2014-01-16 21:00:00,-42.96084222,8.4496125,10.998,34.27035971,-17.787,9.26,735615.8868,-3.050254141693276,-3.145309618395295,2456674.375,-3.050254141693276,-17.787
2014-01-16 22:00:00,-42.95746,8.451554723,11.0356,34.27908208,-19.461,8.962,735615.9285,-3.1399653432300214,-3.222877071203766,2456674.4166666665,-3.1399653432300214,-19.461
2014-01-16 23:00:00,-42.95207833,8.454876944,11.0572,34.27982244,-20.217,8.665,735615.9701,-3.0641016639855554,-3.129630149516609,2456674.4583333335,-3.0641016639855554,-20.217
2014-01-17 00:00:00,-42.94560056,8.458788611000001,11.0123,34.27892948,-19.851,8.442,735616.0118,-2.8672914666986937,-2.9172395540339005,2456674.5,-2.8672914666986937,-19.851
2014-01-17 01:00:00,-42.93913944,8.462646945,10.959000000000001,34.27290142,-18.479,8.408999999999999,735616.0535,-2.65037068662555,-2.694944376538168,2456674.5416666665,-2.65037068662555,-18.479
2014-01-17 02:00:00,-42.933904999999996,8.465788889,10.9618,34.27427509,-17.52,8.377,735616.0951,-2.4951382466920755,-2.5356349963175493,2456674.5833333335,-2.4951382466920755,-17.52
2014-01-17 03:00:00,-42.92980611,8.468296944,10.9292,34.27082336,-18.489,8.344,735616.1368,-2.6143091704811208,-2.655145339878469,2456674.625,-2.6143091704811208,-18.489
