Depth,Temperature
1.4509999999999998,-1.0775
1.5,-1.0781
1.4509999999999998,-1.0788
1.4509999999999998,-1.0788
1.443,-1.0785
1.45,-1.0781
1.45,-1.0781
1.5,-1.0783
1.45,-1.078
1.443,-1.0781
1.45,-1.0785
1.45,-1.0787
1.5,-1.0781
1.394,-1.0769
1.443,-1.0766
1.45,-1.0766
1.45,-1.077
1.5,-1.0766
1.394,-1.0773
1.493,-1.0773
1.45,-1.0765
1.394,-1.0768
1.5,-1.0772
1.394,-1.0772
1.443,-1.0769
1.45,-1.0766
1.45,-1.0768
1.45,-1.077
1.45,-1.0772
1.443,-1.0773
1.394,-1.077
1.45,-1.0772
1.394,-1.0769
1.45,-1.077
1.443,-1.0766
1.45,-1.0755
1.45,-1.0751
1.45,-1.0751
1.394,-1.0748
1.443,-1.0739
1.394,-1.0739
1.45,-1.074
1.45,-1.0743
1.45,-1.0743
1.443,-1.074
1.394,-1.0741
1.45,-1.0743
1.45,-1.0743
1.394,-1.0743
1.443,-1.0746
1.45,-1.0743
1.45,-1.0727
1.45,-1.0712
1.45,-1.0701
1.443,-1.0697
1.45,-1.0697
1.45,-1.0702
1.394,-1.0705
1.45,-1.0712
1.493,-1.0716
1.45,-1.0714
1.45,-1.0712
1.45,-1.071
1.45,-1.0709
1.3869999999999998,-1.0702
1.55,-1.0703
1.45,-1.0701
1.45,-1.0704
1.5,-1.0705
1.45,-1.0707
1.443,-1.0709
1.45,-1.0704
1.45,-1.0704
1.5,-1.0702
1.45,-1.0704
1.493,-1.0703
1.5,-1.0704
1.45,-1.0702
1.45,-1.0707
1.5,-1.0709
1.443,-1.0712
1.5,-1.0712
1.5,-1.071
1.45,-1.0705
1.5,-1.0702
1.443,-1.0702
1.5,-1.0707
1.45,-1.071
1.5,-1.071
1.5,-1.0713
1.443,-1.071
1.45,-1.0712
1.55,-1.0727
1.45,-1.0739
1.45,-1.074
1.493,-1.0733
1.45,-1.0738
1.45,-1.0743
1.55,-1.0748
1.394,-1.0743
1.493,-1.0737
