Salinity,Depth
33.8667,1.45
33.8659,1.5
33.8656,1.493
33.8659,1.5
33.8664,1.5
33.8654,1.5
33.8639,1.5
33.8629,1.443
33.8643,1.55
33.8653,1.5
33.8665,1.5
33.8645,1.5
33.8629,1.493
33.8644,1.55
33.864,1.45
33.8614,1.55
33.8621,1.5
33.8628,1.493
33.8645,1.5
33.8664,1.5
33.8671,1.55
33.8672,1.5
33.8664,1.443
33.8662,1.55
33.8658,1.5
33.8656,1.5
33.8667,1.5
33.8665,1.55
33.866,1.45
33.8665,1.5
33.8678,1.5
33.8679,1.5
33.867,1.55
33.867,1.5
33.8661,1.5
33.8652,1.5
33.864,1.55
33.8646,1.493
33.8645,1.5
33.8661,1.5
33.8659,1.5
33.8639,1.55
33.8638,1.443
33.8652,1.55
33.8653,1.5
33.8658,1.45
33.8642,1.55
33.8627,1.5
33.8622,1.493
33.8611,1.5
33.8599,1.5
33.8589,1.5
33.8587,1.5
33.8582,1.493
33.8594,1.55
33.8607,1.45
33.8615,1.55
33.8635,1.45
33.8658,1.55
33.8668,1.5
33.8671,1.45
33.8668,1.55
33.866,1.5
33.8657,1.443
33.867,1.55
33.8689,1.45
33.8691,1.5
33.8655,1.5
33.8615,1.493
33.8595,1.5
33.8593,1.45
33.8599,1.5
33.8587,1.5
33.8595,1.493
33.8613,1.5
33.8637,1.45
33.8658,1.5
33.8652,1.55
33.8658,1.443
33.8665,1.45
33.8666,1.5
33.866,1.5
33.8648,1.55
33.864,1.443
33.8632,1.5
33.8634,1.5
33.8674,1.5
33.8693,1.5
33.8687,1.493
33.8682,1.5
33.8665,1.5
33.8637,1.5
33.8612,1.55
33.8615,1.45
33.861,1.55
33.8594,1.5
33.8592,1.45
33.8594,1.55
33.8614,1.5
33.8625,1.493
33.8636,1.5
33.8646,1.5
33.8643,1.45
33.8627,1.55
33.8611,1.493
33.8633,1.5
33.8661,1.5
33.8662,1.5
33.8663,1.5
33.8664,1.443
33.8653,1.55
33.8659,1.5
33.8653,1.5
33.8646,1.45
33.8669,1.493
33.8693,1.55
33.8707,1.5
33.8713,1.5
33.8717,1.5
33.8714,1.493
33.871,1.45
33.8698,1.55
33.8678,1.45
33.866,1.5
33.8651,1.493
33.8647,1.55
33.8647,1.45
33.8644,1.5
33.8639,1.5
33.8644,1.493
33.8644,1.55
33.8642,1.5
33.864,1.45
33.8661,1.5
33.8664,1.55
33.8651,1.5
33.8644,1.45
33.8645,1.55
33.8648,1.5
33.8655,1.45
33.865,1.55
33.8651,1.5
33.8655,1.5
33.8648,1.5
33.863,1.5
33.8609,1.493
33.8606,1.5
